,altitude,cadence,distance,heart_rate,latitude,longitude,time
1532,99.19999694824219,105.0,39405.87109375,134,53.475699350237846,-6.268722536042333,2015-09-13T08:26:45
1533,99.19999694824219,106.0,39420.859375,132,53.47576263360679,-6.268921857699752,2015-09-13T08:26:47
1534,99.19999694824219,106.0,39428.76171875,132,53.47580814734101,-6.269013304263353,2015-09-13T08:26:48
1535,99.19999694824219,111.0,39452.55078125,130,53.47593781538308,-6.269297869876027,2015-09-13T08:26:51
1536,99.19999694824219,102.0,39505.421875,130,53.47624593414366,-6.269904216751456,2015-09-13T08:26:57
1537,99.19999694824219,0.0,39552.23828125,128,53.47647417336702,-6.270501930266619,2015-09-13T08:27:03
1538,98.80000305175781,0.0,39570.859375,127,53.47655966877937,-6.270743329077959,2015-09-13T08:27:06
1539,98.4000015258789,0.0,39576.609375,126,53.476587077602744,-6.2708168383687735,2015-09-13T08:27:07
1540,98.0,0.0,39581.94921875,126,53.47662018612027,-6.270875008776784,2015-09-13T08:27:08
1541,97.5999984741211,0.0,39586.328125,124,53.47665756940842,-6.270896466448903,2015-09-13T08:27:09
1542,97.19999694824219,16.0,39591.171875,123,53.47670115530491,-6.270886827260256,2015-09-13T08:27:10
1543,97.19999694824219,89.0,39603.0,122,53.476789835840464,-6.270788172259927,2015-09-13T08:27:12
1544,97.19999694824219,95.0,39609.48828125,123,53.47683945670724,-6.270736875012517,2015-09-13T08:27:13
1545,97.19999694824219,105.0,39616.921875,123,53.4769038297236,-6.270705526694655,2015-09-13T08:27:14
1546,97.19999694824219,110.0,39633.8203125,124,53.47704724408686,-6.270620785653591,2015-09-13T08:27:16
1547,96.80000305175781,104.0,39643.83984375,124,53.47713307477534,-6.270574685186148,2015-09-13T08:27:17
1548,96.4000015258789,106.0,39653.828125,125,53.47721857018769,-6.270528249442577,2015-09-13T08:27:18
1549,95.80000305175781,102.0,39664.140625,125,53.477306915447116,-6.270481729879975,2015-09-13T08:27:19
1550,95.4000015258789,102.0,39674.51953125,125,53.47739500924945,-6.270430013537407,2015-09-13T08:27:20
1551,95.0,102.0,39685.25,125,53.47748561762273,-6.27037494443357,2015-09-13T08:27:21
1552,94.4000015258789,0.0,39695.83984375,125,53.477575639262795,-6.27032314427197,2015-09-13T08:27:22
1553,93.80000305175781,0.0,39706.62890625,125,53.47766758874059,-6.270271930843592,2015-09-13T08:27:23
1554,93.4000015258789,0.0,39717.76953125,124,53.47776439972222,-6.2702286802232265,2015-09-13T08:27:24
1555,92.80000305175781,0.0,39728.62890625,124,53.47785911522806,-6.27018928527832,2015-09-13T08:27:25
1556,92.4000015258789,0.0,39739.62109375,123,53.47795508801937,-6.270150225609541,2015-09-13T08:27:26
1557,91.80000305175781,0.0,39750.7890625,122,53.478052485734224,-6.270109573379159,2015-09-13T08:27:27
1558,91.4000015258789,0.0,39761.98046875,121,53.478150218725204,-6.270069843158126,2015-09-13T08:27:28
1559,90.80000305175781,0.0,39773.26171875,120,53.47824920900166,-6.270033633336425,2015-09-13T08:27:29
1560,90.4000015258789,0.0,39784.5,119,53.478348115459085,-6.2699992675334215,2015-09-13T08:27:30
1561,90.0,0.0,39807.578125,118,53.478551963344216,-6.269935145974159,2015-09-13T08:27:32
1562,89.5999984741211,0.0,39819.19921875,117,53.47865522839129,-6.269909413531423,2015-09-13T08:27:33
1563,89.0,0.0,39831.1484375,117,53.47876167856157,-6.269885106012225,2015-09-13T08:27:34
1564,88.5999984741211,0.0,39842.87109375,115,53.47886620089412,-6.269863145425916,2015-09-13T08:27:35
1565,88.0,0.0,39853.71875,114,53.478963263332844,-6.269848728552461,2015-09-13T08:27:36
