time,distance_diff,time_diff,speed,moving,breaks
2015-09-13 06:37:13,6.5703125,1,23.7,True,False
2015-09-13 06:37:15,12.8696289062,2,23.2,True,False
2015-09-13 06:37:16,6.400390625,1,23.0,True,False
2015-09-13 06:37:17,6.1196289062,1,22.0,True,False
2015-09-13 06:37:18,6.2700195312,1,22.6,True,False
2015-09-13 06:37:19,6.66015625,1,24.0,True,False
2015-09-13 06:37:26,50.419921875,7,25.9,True,False
2015-09-13 06:37:33,50.5,7,26.0,True,False
2015-09-13 06:37:35,13.7602539062,2,24.8,True,False
2015-09-13 06:37:38,18.2700195312,3,21.9,True,False
2015-09-13 06:37:40,10.259765625,2,18.5,True,False
2015-09-13 06:37:41,4.3198242188,1,15.6,True,False
2015-09-13 06:37:43,8.3500976562,2,15.0,True,False
2015-09-13 06:37:48,24.7700195312,5,17.8,True,False
2015-09-13 06:37:51,17.7299804688,3,21.3,True,False
2015-09-13 06:37:55,22.6801757812,4,20.4,True,False
2015-09-13 06:37:57,11.509765625,2,20.7,True,False
2015-09-13 06:38:04,40.9399414062,7,21.1,True,False
2015-09-13 06:38:05,5.830078125,1,21.0,True,False
2015-09-13 06:38:06,6.0,1,21.6,True,False
2015-09-13 06:38:07,5.9501953125,1,21.4,True,False
2015-09-13 06:38:08,5.6899414062,1,20.5,True,False
2015-09-13 06:38:15,42.0400390625,7,21.6,True,False
2015-09-13 06:38:25,58.08984375,10,20.9,True,False
2015-09-13 06:38:26,6.0200195312,1,21.7,True,False
2015-09-13 06:38:35,55.9599609375,9,22.4,True,False
2015-09-13 06:38:45,61.3100585938,10,22.1,True,False
2015-09-13 06:38:46,6.2001953125,1,22.3,True,False
2015-09-13 06:38:56,61.2397460938,10,22.0,True,False
2015-09-13 06:38:57,6.490234375,1,23.4,True,False
2015-09-13 06:39:06,63.0498046875,9,25.2,True,False
2015-09-13 06:39:08,14.7700195312,2,26.6,True,False
2015-09-13 06:39:11,18.3901367188,3,22.1,True,False
2015-09-13 06:39:12,5.9897460938,1,21.6,True,False
2015-09-13 06:39:14,12.0502929688,2,21.7,True,False
2015-09-13 06:39:17,16.4897460938,3,19.8,True,False
2015-09-13 06:39:18,4.330078125,1,15.6,True,False
2015-09-13 06:39:19,3.6801757812,1,13.2,True,False
2015-09-13 06:39:20,2.509765625,1,9.0,True,False
2015-09-13 06:39:21,1.8701171875,1,6.7,True,False
2015-09-13 06:39:22,1.240234375,1,4.5,True,False
2015-09-13 06:39:23,0.0,1,0.0,False,False
2015-09-13 06:39:29,7.7900390625,6,4.7,True,False
2015-09-13 06:39:33,13.0698242188,4,11.8,True,False
2015-09-13 06:39:34,3.8701171875,1,13.9,True,False
2015-09-13 06:39:37,13.3999023438,3,16.1,True,False
2015-09-13 06:39:41,20.8901367188,4,18.8,True,False
2015-09-13 06:39:45,21.83984375,4,19.7,True,False
2015-09-13 06:39:48,15.1201171875,3,18.1,True,False
2015-09-13 06:39:49,5.25,1,18.9,True,False
2015-09-13 06:39:54,28.9599609375,5,20.9,True,False
2015-09-13 06:39:55,5.25,1,18.9,True,False
2015-09-13 06:39:56,5.3798828125,1,19.4,True,False
2015-09-13 06:39:57,5.4799804688,1,19.7,True,False
2015-09-13 06:39:58,5.2602539062,1,18.9,True,False
2015-09-13 06:40:00,11.6499023438,2,21.0,True,False
2015-09-13 06:40:03,18.0498046875,3,21.7,True,False
2015-09-13 06:40:07,23.3999023438,4,21.1,True,False
2015-09-13 06:40:09,11.9404296875,2,21.5,True,False
2015-09-13 06:40:16,42.6499023438,7,21.9,True,False
2015-09-13 06:40:25,55.8896484375,9,22.4,True,False
2015-09-13 06:40:31,38.0400390625,6,22.8,True,False
2015-09-13 06:40:32,5.8002929688,1,20.9,True,False
2015-09-13 06:40:39,39.830078125,7,20.5,True,False
2015-09-13 06:40:44,32.4497070312,5,23.4,True,False
2015-09-13 06:40:51,42.3999023438,7,21.8,True,False
2015-09-13 06:40:58,39.4599609375,7,20.3,True,False
2015-09-13 06:40:59,6.150390625,1,22.1,True,False
2015-09-13 06:41:06,40.6499023438,7,20.9,True,False
2015-09-13 06:41:14,51.1801757812,8,23.0,True,False
2015-09-13 06:41:21,47.5795898438,7,24.5,True,False
2015-09-13 06:41:27,38.650390625,6,23.2,True,False
2015-09-13 06:41:34,38.8598632812,7,20.0,True,False
2015-09-13 06:41:36,5.830078125,2,10.5,True,False
2015-09-13 06:41:38,5.2099609375,2,9.4,True,False
2015-09-13 06:41:39,2.6000976562,1,9.4,True,False
2015-09-13 06:41:47,25.4799804688,8,11.5,True,False
2015-09-13 06:41:54,32.7299804688,7,16.8,True,False
2015-09-13 06:41:57,19.2700195312,3,23.1,True,False
2015-09-13 06:42:00,21.2797851562,3,25.5,True,False
2015-09-13 06:42:09,49.5400390625,9,19.8,True,False
2015-09-13 06:42:13,23.1298828125,4,20.8,True,False
2015-09-13 06:42:14,5.7802734375,1,20.8,True,False
2015-09-13 06:42:21,37.8896484375,7,19.5,True,False
2015-09-13 06:42:25,21.6801757812,4,19.5,True,False
2015-09-13 06:42:27,8.2700195312,2,14.9,True,False
2015-09-13 06:42:28,3.91015625,1,14.1,True,False
2015-09-13 06:42:31,13.6796875,3,16.4,True,False
2015-09-13 06:42:33,10.9799804688,2,19.8,True,False
2015-09-13 06:42:36,17.4301757812,3,20.9,True,False
2015-09-13 06:42:37,5.2900390625,1,19.0,True,False
2015-09-13 06:42:41,22.3198242188,4,20.1,True,False
2015-09-13 06:42:43,9.0703125,2,16.3,True,False
2015-09-13 06:42:44,4.5795898438,1,16.5,True,False
2015-09-13 06:42:48,13.2700195312,4,11.9,True,False
2015-09-13 06:42:53,22.3203125,5,16.1,True,False
2015-09-13 06:43:02,49.4296875,9,19.8,True,False
2015-09-13 06:43:11,50.5200195312,9,20.2,True,False
2015-09-13 06:43:19,46.1303710938,8,20.8,True,False
2015-09-13 06:43:20,5.6098632812,1,20.2,True,False
2015-09-13 06:43:21,5.5600585938,1,20.0,True,False
2015-09-13 06:43:22,5.9497070312,1,21.4,True,False
2015-09-13 06:43:23,5.75,1,20.7,True,False
2015-09-13 06:43:24,5.4399414062,1,19.6,True,False
2015-09-13 06:43:29,30.75,5,22.1,True,False
2015-09-13 06:43:35,32.8100585938,6,19.7,True,False
2015-09-13 06:43:37,10.1801757812,2,18.3,True,False
2015-09-13 06:43:39,9.259765625,2,16.7,True,False
2015-09-13 06:43:42,10.9604492188,3,13.2,True,False
2015-09-13 06:43:45,10.33984375,3,12.4,True,False
2015-09-13 06:43:51,11.3901367188,6,6.8,True,False
2015-09-13 06:43:57,0.0,6,0.0,False,False
2015-09-13 06:44:02,0.0,5,0.0,False,False
2015-09-13 06:44:09,0.0,7,0.0,False,False
2015-09-13 06:44:11,0.0,2,0.0,False,False
2015-09-13 06:44:14,8.9599609375,3,10.8,True,False
2015-09-13 06:44:18,18.169921875,4,16.4,True,False
2015-09-13 06:44:20,9.2700195312,2,16.7,True,False
2015-09-13 06:44:25,16.419921875,5,11.8,True,False
2015-09-13 06:44:31,28.3701171875,6,17.0,True,False
2015-09-13 06:44:37,31.33984375,6,18.8,True,False
2015-09-13 06:44:44,30.1801757812,7,15.5,True,False
2015-09-13 06:44:50,29.6098632812,6,17.8,True,False
2015-09-13 06:44:55,18.8203125,5,13.6,True,False
2015-09-13 06:44:56,4.2099609375,1,15.2,True,False
2015-09-13 06:45:03,23.1899414062,7,11.9,True,False
2015-09-13 06:45:07,6.7197265625,4,6.0,True,False
2015-09-13 06:45:09,2.1801757812,2,3.9,True,False
2015-09-13 06:45:14,0.0,5,0.0,False,False
2015-09-13 06:45:21,6.6298828125,7,3.4,True,False
2015-09-13 06:45:24,3.4301757812,3,4.1,True,False
2015-09-13 06:45:30,0.0,6,0.0,False,False
2015-09-13 06:45:40,0.0,10,0.0,False,False
2015-09-13 07:11:26,0.0,1546,0.0,False,True
2015-09-13 07:11:30,5.2397460938,4,4.7,True,False
2015-09-13 07:11:35,8.7202148438,5,6.3,True,False
2015-09-13 07:11:39,6.8100585938,4,6.1,True,False
2015-09-13 07:11:40,1.9599609375,1,7.1,True,False
2015-09-13 07:11:41,2.1201171875,1,7.6,True,False
2015-09-13 07:11:42,1.5498046875,1,5.6,True,False
2015-09-13 07:11:43,1.580078125,1,5.7,True,False
2015-09-13 07:11:48,10.6298828125,5,7.7,True,False
2015-09-13 07:11:49,1.740234375,1,6.3,True,False
2015-09-13 07:11:53,3.9697265625,4,3.6,True,False
2015-09-13 07:11:56,3.4799804688,3,4.2,True,False
2015-09-13 07:12:03,13.9799804688,7,7.2,True,False
2015-09-13 07:12:04,1.5,1,5.4,True,False
2015-09-13 07:12:08,8.1303710938,4,7.3,True,False
2015-09-13 07:12:12,7.25,4,6.5,True,False
