time,altitude,cadence,distance,heart_rate,latitude,longitude,time_diff,breaks,distance_diff,speed,moving
2015-09-13 11:04:35,132.5,96,93540.640625,137,53.40568053536118,-6.3629050785675645,0.0,False,8.029296875,28.905468749999745,True
2015-09-13 11:04:36,132.42499923706058,96,93548.669921875,137,53.40564172714948,-6.362803248921408,0.0,False,8.029296875,28.905468749999745,True
2015-09-13 11:04:37,132.3499984741211,96,93556.69921875,136,53.405602918937795,-6.362701419275254,0.0,False,8.029296875,28.905468749999745,True
2015-09-13 11:04:38,132.27499771118167,97,93564.728515625,136,53.40556411072611,-6.3625995896291,0.0,False,8.029296875,28.905468749999745,True
2015-09-13 11:04:39,132.19999694824222,97,93572.7578125,136,53.40552530251443,-6.3624977599829435,8.0,False,8.029296875,28.905468749999745,True
2015-09-13 11:04:40,131.80000305175778,97,93580.7578125,136,53.40548573993146,-6.3623973447829485,1.0,False,8.0,28.870312499999745,True
2015-09-13 11:04:41,131.39999389648438,97,93589.15625,136,53.40544475242496,-6.3622913137078285,1.0,False,8.3984375,29.313281249999747,True
2015-09-13 11:04:42,131.0,98,93597.28125,136,53.40540485456586,-6.362189305946231,1.0,False,8.125,29.42812499999975,True
2015-09-13 11:04:43,130.60000610351562,98,93605.5234375,136,53.405363364145146,-6.362086543813348,1.0,False,8.2421875,29.718749999999748,True
2015-09-13 11:04:44,130.60000610351562,98,93613.6826171875,136,53.40532422065734,-6.361982807284222,0.0,False,8.1591796875,29.431640624999748,True
2015-09-13 11:04:45,130.60000610351562,98,93621.841796875,136,53.405285077169545,-6.361879070755094,0.0,False,8.1591796875,29.472656249999748,True
2015-09-13 11:04:46,130.60000610351562,97,93630.0009765625,136,53.40524593368173,-6.361775334225968,0.0,False,8.1591796875,29.373046874999748,True
2015-09-13 11:04:47,130.60000610351562,97,93638.16015625,136,53.40520679019392,-6.361671597696841,0.0,False,8.1591796875,29.373046874999748,True
2015-09-13 11:04:48,130.60000610351562,97,93646.3193359375,136,53.405167646706104,-6.361567861167713,0.0,False,8.1591796875,29.373046874999748,True
2015-09-13 11:04:49,130.60000610351562,96,93654.478515625,136,53.405128503218286,-6.361464124638588,0.0,False,8.1591796875,29.373046874999748,True
2015-09-13 11:04:50,130.60000610351562,96,93662.6376953125,136,53.40508935973049,-6.3613603881094605,0.0,False,8.1591796875,29.373046874999748,True
2015-09-13 11:04:51,130.60000610351562,96,93670.796875,136,53.40505021624268,-6.361256651580334,8.0,False,8.1591796875,29.373046874999748,True
